time	year	month	day	hour	WVHT	APD
2008-12-31 23:00:00	2008	12	31	23	2.18	6.5
2009-01-01 00:00:00	2009	1	1	0	2.23	6.26
2009-01-01 01:00:00	2009	1	1	1	2.1	6.12
2009-01-01 02:00:00	2009	1	1	2		
2009-01-01 03:00:00	2009	1	1	3	1.86	5.78
2009-01-01 04:00:00	2009	1	1	4	1.91	6.0
2009-01-01 05:00:00	2009	1	1	5	1.68	5.54
2009-01-01 06:00:00	2009	1	1	6	1.8	5.87
2009-01-01 07:00:00	2009	1	1	7	1.69	5.75
2009-01-01 08:00:00	2009	1	1	8	1.89	6.15
2009-01-01 09:00:00	2009	1	1	9	1.88	6.45
2009-01-01 10:00:00	2009	1	1	10	1.97	6.24
2009-01-01 11:00:00	2009	1	1	11	2.0	6.7
2009-01-01 12:00:00	2009	1	1	12	1.95	6.63
2009-01-01 13:00:00	2009	1	1	13	2.11	6.6
2009-01-01 14:00:00	2009	1	1	14	2.2	6.91
2009-01-01 15:00:00	2009	1	1	15	2.2	6.63
2009-01-01 16:00:00	2009	1	1	16	2.11	6.29
2009-01-01 17:00:00	2009	1	1	17	2.31	6.52
2009-01-01 18:00:00	2009	1	1	18	2.17	6.54
2009-01-01 19:00:00	2009	1	1	19	2.11	6.68
2009-01-01 20:00:00	2009	1	1	20	2.12	6.96
2009-01-01 21:00:00	2009	1	1	21	2.15	6.81
2009-01-01 22:00:00	2009	1	1	22	2.17	6.78
2009-01-01 23:00:00	2009	1	1	23		
2009-01-02 00:00:00	2009	1	2	0		
2009-01-02 01:00:00	2009	1	2	1	2.25	6.5
2009-01-02 02:00:00	2009	1	2	2	2.17	6.64
2009-01-02 03:00:00	2009	1	2	3	2.11	6.22
2009-01-02 04:00:00	2009	1	2	4	1.97	5.81
2009-01-02 05:00:00	2009	1	2	5	1.93	5.96
2009-01-02 06:00:00	2009	1	2	6	1.86	6.03
2009-01-02 07:00:00	2009	1	2	7	1.7	6.02
2009-01-02 08:00:00	2009	1	2	8		
2009-01-02 09:00:00	2009	1	2	9		
2009-01-02 10:00:00	2009	1	2	10	1.77	6.89
2009-01-02 11:00:00	2009	1	2	11	1.61	6.34
2009-01-02 12:00:00	2009	1	2	12	1.57	6.77
2009-01-02 13:00:00	2009	1	2	13	1.61	7.35
2009-01-02 14:00:00	2009	1	2	14	1.79	8.16
2009-01-02 15:00:00	2009	1	2	15	1.46	7.61
2009-01-02 16:00:00	2009	1	2	16	1.6	8.06
2009-01-02 17:00:00	2009	1	2	17	1.5	7.83
2009-01-02 18:00:00	2009	1	2	18	1.45	7.91
2009-01-02 19:00:00	2009	1	2	19	1.38	7.34
2009-01-02 20:00:00	2009	1	2	20	1.44	6.77
2009-01-02 21:00:00	2009	1	2	21	1.43	5.86
2009-01-02 22:00:00	2009	1	2	22	1.6	5.24
2009-01-02 23:00:00	2009	1	2	23	1.75	5.25
2009-01-03 00:00:00	2009	1	3	0	1.84	5.05
2009-01-03 01:00:00	2009	1	3	1		
