time	year	month	day	hour	WVHT	APD
2007-10-29 17:00:00	2007	10	29	17	1.67	6.88
2007-10-29 18:00:00	2007	10	29	18	1.8	7.01
2007-10-29 19:00:00	2007	10	29	19	1.73	6.8
2007-10-29 20:00:00	2007	10	29	20	1.8	7.31
2007-10-29 21:00:00	2007	10	29	21	1.72	7.32
2007-10-29 22:00:00	2007	10	29	22	1.72	7.09
2007-10-29 23:00:00	2007	10	29	23	1.83	7.68
2007-10-30 00:00:00	2007	10	30	0	1.65	7.07
2007-10-30 01:00:00	2007	10	30	1	1.68	7.09
2007-10-30 02:00:00	2007	10	30	2	1.61	6.94
2007-10-30 03:00:00	2007	10	30	3	1.74	7.54
2007-10-30 04:00:00	2007	10	30	4	1.6	7.07
2007-10-30 05:00:00	2007	10	30	5	1.62	7.41
2007-10-30 06:00:00	2007	10	30	6	1.64	7.08
2007-10-30 07:00:00	2007	10	30	7	1.75	7.26
2007-10-30 08:00:00	2007	10	30	8	1.79	7.62
2007-10-30 09:00:00	2007	10	30	9	1.71	7.15
2007-10-30 10:00:00	2007	10	30	10	1.55	6.93
2007-10-30 11:00:00	2007	10	30	11	1.74	7.2
2007-10-30 12:00:00	2007	10	30	12	1.74	7.02
2007-10-30 13:00:00	2007	10	30	13	1.62	6.71
2007-10-30 14:00:00	2007	10	30	14	1.57	6.69
2007-10-30 15:00:00	2007	10	30	15	1.69	6.97
2007-10-30 16:00:00	2007	10	30	16	1.64	6.85
2007-10-30 17:00:00	2007	10	30	17	1.65	6.75
2007-10-30 18:00:00	2007	10	30	18	1.75	6.95
2007-10-30 19:00:00	2007	10	30	19	1.82	7.53
2007-10-30 20:00:00	2007	10	30	20	1.7	7.28
2007-10-30 21:00:00	2007	10	30	21	1.65	7.1
2007-10-30 22:00:00	2007	10	30	22	1.63	6.97
2007-10-30 23:00:00	2007	10	30	23	1.77	7.33
2007-10-31 00:00:00	2007	10	31	0	1.94	7.48
2007-10-31 01:00:00	2007	10	31	1	1.92	7.35
