time	year	month	day	hour	WVHT	APD
2005-05-30 17:00:00	2005	5	30	17	1.98	5.18
2005-05-30 18:00:00	2005	5	30	18	1.99	5.07
2005-05-30 19:00:00	2005	5	30	19	2.07	5.28
2005-05-30 20:00:00	2005	5	30	20	1.86	5.16
2005-05-30 21:00:00	2005	5	30	21	1.98	5.29
2005-05-30 22:00:00	2005	5	30	22	2.06	5.33
2005-05-30 23:00:00	2005	5	30	23	2.03	5.45
2005-05-31 00:00:00	2005	5	31	0	2.1	5.48
2005-05-31 01:00:00	2005	5	31	1	2.03	5.45
2005-05-31 02:00:00	2005	5	31	2	1.97	5.25
2005-05-31 04:00:00	2005	5	31	4	2.09	5.31
2005-05-31 05:00:00	2005	5	31	5	2.18	5.53
2005-05-31 06:00:00	2005	5	31	6	2.2	5.24
2005-05-31 07:00:00	2005	5	31	7	2.26	5.43
2005-05-31 08:00:00	2005	5	31	8	2.27	5.45
2005-05-31 09:00:00	2005	5	31	9	2.32	5.35
2005-05-31 10:00:00	2005	5	31	10	2.34	5.28
2005-05-31 11:00:00	2005	5	31	11	2.31	5.4
2005-05-31 12:00:00	2005	5	31	12	2.29	5.29
2005-05-31 13:00:00	2005	5	31	13	2.42	5.43
2005-05-31 14:00:00	2005	5	31	14	2.31	5.31
2005-05-31 15:00:00	2005	5	31	15	2.42	5.49
2005-05-31 16:00:00	2005	5	31	16	2.51	5.34
2005-05-31 17:00:00	2005	5	31	17	2.32	5.39
2005-05-31 18:00:00	2005	5	31	18	2.55	5.45
2005-05-31 19:00:00	2005	5	31	19	2.44	5.4
2005-05-31 20:00:00	2005	5	31	20	2.48	5.37
2005-05-31 21:00:00	2005	5	31	21	2.61	5.58
2005-05-31 22:00:00	2005	5	31	22	2.46	5.44
2005-05-31 23:00:00	2005	5	31	23	2.49	5.51
2005-06-01 00:00:00	2005	6	1	0	2.35	5.31
2005-06-01 01:00:00	2005	6	1	1	2.48	5.56
2005-06-01 02:00:00	2005	6	1	2	2.5	5.47
2005-06-01 03:00:00	2005	6	1	3	2.38	5.38
2005-06-01 04:00:00	2005	6	1	4	2.63	5.64
2005-06-01 05:00:00	2005	6	1	5	2.62	5.67
2005-06-01 06:00:00	2005	6	1	6	2.51	5.52
2005-06-01 07:00:00	2005	6	1	7	2.51	5.46
2005-06-01 08:00:00	2005	6	1	8	2.64	5.56
2005-06-01 09:00:00	2005	6	1	9	2.68	5.72
2005-06-01 10:00:00	2005	6	1	10	2.35	5.41
2005-06-01 11:00:00	2005	6	1	11	2.49	5.67
2005-06-01 12:00:00	2005	6	1	12	2.37	5.56
2005-06-01 13:00:00	2005	6	1	13	2.52	5.52
2005-06-01 14:00:00	2005	6	1	14	2.55	5.55
2005-06-01 15:00:00	2005	6	1	15	2.55	5.54
2005-06-01 16:00:00	2005	6	1	16	2.45	5.43
2005-06-01 17:00:00	2005	6	1	17	2.59	5.59
2005-06-01 18:00:00	2005	6	1	18	2.61	5.61
2005-06-01 19:00:00	2005	6	1	19	2.86	5.79
2005-06-01 20:00:00	2005	6	1	20	2.56	5.67
2005-06-01 21:00:00	2005	6	1	21	2.6	5.64
2005-06-01 22:00:00	2005	6	1	22	2.56	5.72
2005-06-01 23:00:00	2005	6	1	23	2.51	5.6
2005-06-02 00:00:00	2005	6	2	0	2.69	5.86
2005-06-02 01:00:00	2005	6	2	1	2.47	5.59
2005-06-02 02:00:00	2005	6	2	2	2.68	5.77
2005-06-02 03:00:00	2005	6	2	3	2.35	5.5
2005-06-02 04:00:00	2005	6	2	4	2.66	5.82
2005-06-02 05:00:00	2005	6	2	5	2.61	5.81
2005-06-02 06:00:00	2005	6	2	6	2.81	5.85
2005-06-02 07:00:00	2005	6	2	7	2.7	5.92
2005-06-02 08:00:00	2005	6	2	8	2.6	5.72
2005-06-02 09:00:00	2005	6	2	9	2.71	5.84
2005-06-02 10:00:00	2005	6	2	10	3.06	5.99
2005-06-02 11:00:00	2005	6	2	11		
2005-06-02 12:00:00	2005	6	2	12	2.42	5.62
2005-06-02 13:00:00	2005	6	2	13	2.73	5.98
2005-06-02 14:00:00	2005	6	2	14	2.81	6.11
2005-06-02 15:00:00	2005	6	2	15	2.69	5.9
2005-06-02 16:00:00	2005	6	2	16	2.39	5.84
2005-06-02 17:00:00	2005	6	2	17	2.63	5.9
2005-06-02 18:00:00	2005	6	2	18	2.63	5.94
2005-06-02 19:00:00	2005	6	2	19	2.6	5.79
2005-06-02 20:00:00	2005	6	2	20	2.58	5.92
2005-06-02 21:00:00	2005	6	2	21	2.62	5.77
2005-06-02 22:00:00	2005	6	2	22	2.51	5.73
2005-06-02 23:00:00	2005	6	2	23	2.68	6.01
2005-06-03 00:00:00	2005	6	3	0	2.62	5.73
2005-06-03 01:00:00	2005	6	3	1	2.55	5.71
2005-06-03 02:00:00	2005	6	3	2	2.48	5.62
2005-06-03 03:00:00	2005	6	3	3	2.54	5.77
2005-06-03 04:00:00	2005	6	3	4	2.59	5.89
